,Points,Title,Description,TasterName,Taster_Twitter_Handle,Price,Designation,Variety,Region_1,Region_2,Province,Country,Winery,Vintage,County
55857,92,Walla Walla Vintners 2011 Cabernet Franc (Columbia Valley (WA)),"This is an elegant wine, blended with 13% Merlot and just a splash of Carmenère adding some peppery spice. Surprising citrus highlights suggest tangerine juice and rind, and the tart pomegranate and wild cherry fruit slides gracefully into sleek tannins.",Paul Gregutt,@paulgwine ,30.0,,Cabernet Franc,Columbia Valley (WA),Columbia Valley,Washington,US,Walla Walla Vintners,,
55858,92,Jean-Baptiste Adam 2011 Kaefferkopf Grand Cru Vieilles Vignes Riesling (Alsace),"Old vines and a Grand Cru vineyard have produced an impressive wine. It is bone dry and very crisp, but also has swathes of dense fruit and texture. It's very mineral and steely in style with youthful acidity and pink grapefruit flavors, but this is a wine to age. Drink from 2016.",Roger Voss,@vossroger,43.0,Kaefferkopf Grand Cru Vieilles Vignes,Riesling,Alsace,,Alsace,France,Jean-Baptiste Adam,,
55859,92,Muhr-Van der Niepoort 2011 Spitzerberg Blaufränkisch (Carnuntum),"A great purity of lifted, wild blackberry, fringed by ivy leaves, makes a lasting impression on this mysterious, ethereal wine. Deeper down lurk darker notes of smoke, elderberry, tar and flint. A slender body with fresh acidity destines this for the table: wherever intriguing aromatics are required, this is the wine.",Anne Krebiehl MW,@AnneInVino,70.0,Spitzerberg,Blaufränkisch,,,Carnuntum,Austria,Muhr-Van der Niepoort,,
55860,92,Ochagavia 2011 Raices Nobles Cabernet Sauvignon (Maipo Valley),"Crisp, spicy aromas of red fruits matched against oregano, basil and olive notes give this Cabernet a lot of character and points of interest. The palate is tight and well structured, while dark berry, spice, herb and chocolate flavors flow onto a toasty, minty, warm and tannic finish. This is a bit aggressive now; give it two years and drink through 2019.",Michael Schachner,@wineschach,24.0,Raices Nobles,Cabernet Sauvignon,,,Maipo Valley,Chile,Ochagavia,,
55861,92,ONX 2011 Crux Red (Paso Robles),"This blend is comprised of Grenache, Syrah, Mourvèdre and Cabernet Sauvignon. The GSM combination gives it rich, accessible flavors of cherries, raspberries and red currants, while the Cabernet, at just 7% of the blend, brings dark, brooding fruit notes, as well as depth and tannins. This rich wine combines power with elegance.",,,45.0,Crux,Red Blend,Paso Robles,Central Coast,California,US,ONX,,
55988,92,Loring Wine Company 2014 Durell Vineyard Chardonnay (Sonoma Coast),"Wine doesn't come much more buttery, luscious and creamy than this! It smells like melted butter and butterscotch, tastes rich, smooth and almost candylike, with a soft, gentle texture, apparently low acidity and lots of creamy viscosity.",Jim Gordon,@gordone_cellars,40.0,Durell Vineyard,Chardonnay,Sonoma Coast,Sonoma,California,US,Loring Wine Company,,
55989,92,Loring Wine Company 2014 Keefer Ranch Vineyard Pinot Noir (Russian River Valley),"This complex and positively charged wine has light savory aromas, and nicely earthy and spicy flavors that evolve into focused fruitiness with each subsequent sip. It ends up tangy on the finish due to crisp acidity and firm tannins.",Jim Gordon,@gordone_cellars,50.0,Keefer Ranch Vineyard,Pinot Noir,Russian River Valley,Sonoma,California,US,Loring Wine Company,,
55990,92,Merry Edwards 2013 40th Anniversary Pinot Noir (Russian River Valley),"A special bottling commemorating Edwards' 40 years as a winemaker, this wine is made from a clonal selection created by her in 1975. The fruit is from both the Coopersmith and Georganne vineyards, made in a tiny amount. Built to age, it wraps earthy dried herbs around cherry, strawberry and boysenberry, with a juicy core of acidity. A forested hint of spearmint dances at its edge, as strong suggestions of bacon and pepper build on the finish. Drink now through 2028.",Virginie Boone,@vboone,96.0,40th Anniversary,Pinot Noir,Russian River Valley,Sonoma,California,US,Merry Edwards,,
55991,92,Rockburn 2013 Pinot Noir (Central Otago),"This is ripe and muscular without being overly oaky. Cherry fruit is supported by a balanced dose of cedary oak, but the tannins come largely from the fruit, suggesting decent aging potential. The finish is dry, firm and long, further bolstering that impression. Drink 2017–2025.",Joe Czerwinski,@JoeCz,50.0,,Pinot Noir,,,Central Otago,New Zealand,Rockburn,,
55992,92,Selva Capuzza 2015 Selva  (Lugana),"This single-vineyard bottling opens with aromas of fragrant white flower, yellow stone fruit, dried herb and a whiff of tropical fruit. The concentrated, elegantly structured palate delivers creamy white peach, mature apple, crystallized ginger and mineral. Fresh acidity lifts the rich flavors while an almond note closes the lingering finish.",Kerin O’Keefe,@kerinokeefe,35.0,Selva,Turbiana,Lugana,,Lombardy,Italy,Selva Capuzza,,
55993,92,Starmont 2013 Stanly Ranch Estate Chardonnay (Carneros),"This is a celebratory display of the appellation and vintage, a rewarding show of creme brûlée and spicy acidity. Well-integrated and balanced, while undoubtedly ripe, it has mellow oak around tropical mango and juicy apricot and peach.",Virginie Boone,@vboone,45.0,Stanly Ranch Estate,Chardonnay,Carneros,Napa-Sonoma,California,US,Starmont,,
55994,92,Mayer am Pfarrplatz 2015 Alsegg Riesling (Vienna),"Bright, almost luminous Meyer lemon and orange hover like a halo. The palate intensifies this ripe but zesty purity even more. The fruit is pulled into lemony focus at the concentrated core of this sleek, moreish Viennese original.",Anne Krebiehl MW,@AnneInVino,28.0,Alsegg,Riesling,,,Vienna,Austria,Mayer am Pfarrplatz,,
55995,92,Pichler-Krutzler 2015 Frauengärten Grüner Veltliner (Wachau),"While the softer scent of green Conference pears wraps around the nose, the palate also takes in subtle earth and adds pliable, almost soft notes of apricot and yellow plum to a stony, poised and statuesque background. This is lovely and fresh now but sure to develop. Drink anytime now until 2019.",Anne Krebiehl MW,@AnneInVino,24.0,Frauengärten,Grüner Veltliner,,,Wachau,Austria,Pichler-Krutzler,,
55996,92,Proelio 2012 Cepa a Cepa  (Rioja),"Smoky, charred aromas of leathery berry fruits and coffee are staunch and potent. Matching the nose, this feels plump and full in body and soul. Earthy cherry and berry flavors come with a hint of herbal plum. On the finish, this rises up, beats its chest, and shows gravitas and fine oak. Drink through 2024.",Michael Schachner,@wineschach,40.0,Cepa a Cepa,Tempranillo,Rioja,,Northern Spain,Spain,Proelio,,
55997,92,Raphael 2013 Reserve Cabernet Sauvignon (North Fork of Long Island),"Luxurious notes of vanilla, cedar and spice go head-to-head against lusciously ripe blueberry and blackberry flavors here. Deeply fruity yet structured, it's freshened by crisp cranberry acidity and swathes of bramble and herb. While big boned and densely tannic now, it should meld beautifully from 2019–2025.",Anna Lee C. Iijima,,50.0,Reserve,Cabernet Sauvignon,North Fork of Long Island,Long Island,New York,US,Raphael,,
55998,92,Refugio Ranch 2013 Barbareño Syrah-Petite Sirah (Santa Ynez Valley),"The signature bottling from this estate that is one of the few on the south side of the Santa Ynez River, this blend of 76% Syrah and 24% Petite Sirah is utterly delicious on the nose, showing lavender-blackberry creme brûlée , rich caramel on toast, smoked pork and zesty, uplifting purple flowers. The palate shows sour plums, wood smoke and mocha.",Matt Kettmann,@mattkettmann,52.0,Barbareño,Syrah-Petite Sirah,Santa Ynez Valley,Central Coast,California,US,Refugio Ranch,,
55999,92,Schloss Gobelsburg 2015 Riesling (Kamptal),"How can such lightness, such supple slenderness, come with such full flavor? Visions of swirling citrus are made manifest here. Mandarin, kumquat, tangerine: they all dance and flit around a central seam of freshness. Lovely and almost irresistible now, but sure to advance most gracefully.",Anne Krebiehl MW,@AnneInVino,21.0,,Riesling,,,Kamptal,Austria,Schloss Gobelsburg,,
56000,92,Seresin 2012 Rachel Pinot Noir (Marlborough),"This is a big, rich style of Pinot, with toast, vanilla and bacon marking the nose. While the palate delivers more black cherry fruit, it still remains savory overall. It's slightly chewy on the finish, so drink 2017–2025.",Joe Czerwinski,@JoeCz,55.0,Rachel,Pinot Noir,,,Marlborough,New Zealand,Seresin,,
56001,92,Tenuta Roveglia 2015 Limne  (Lugana),"Enticing scents of fragrant white flower, stone fruit and crushed herb lead the way while the creamy, savory palate doles out white peach, mature yellow apple and tangerine zest. A blast of mineral energy lifts the lingering finish.",Kerin O’Keefe,@kerinokeefe,18.0,Limne,Turbiana,Lugana,,Lombardy,Italy,Tenuta Roveglia,,
56002,92,Acaibo 2013 Red (Sonoma County),"This blend is proprietors Claire and Gonzague Lurton's foray into California fruit: the two of them together owner several estates in Bordeaux. Their estate vineyard site, still in replanting mode, sits atop a compelling knoll atop Chalk Hill. Leathery and smoky, this wine is classically styled in currant and pencil lead, with a dry, restrained body that lingers on the palate.",Virginie Boone,@vboone,75.0,,Bordeaux-style Red Blend,Sonoma County,Sonoma,California,US,Acaibo,,
56003,92,Achaval-Ferrer 2013 Finca Bella Vista Malbec (Mendoza),"Bright, jammy red-berry aromas are gritty and a bit herbal. A fleshy, jammy mouthfeel belies the snappy raspberry and blueberry flavors that follow. A lot of blue-fruit character and herbal notes grace a high-energy, bright finish. Drink through 2023.",Michael Schachner,@wineschach,140.0,Finca Bella Vista,Malbec,Mendoza,,Mendoza Province,Argentina,Achaval-Ferrer,,
56004,92,Halcon 2014 Oppenlander Vineyard Pinot Noir (Mendocino),"A deep color, concentrated fruit aromas, and equally concentrated fruit flavors give a lot of depth to this medium-bodied and lushly textured wine. It smells like black cherries and light baking spices, tastes like rhubarb and raspberry but also has some clove and cedar notes that add complexity. It's an all-around palate-pleaser that seems to keep improving hours after opening.",Jim Gordon,@gordone_cellars,38.0,Oppenlander Vineyard,Pinot Noir,Mendocino,,California,US,Halcon,,
56005,92,Joseph Swan Vineyards 2014 Saralee's Vineyard Gewürztraminer (Russian River Valley),"This is a lovely, lilting and light version of the variety, so rarely found in this appellation. Highly aromatic in white flowers and even a whiff of roses, it dances on the palate, the acidity tight and able to lift the texture to new heights of flavor and freshness. It shows best with food, preferably spicy.",Virginie Boone,@vboone,22.0,Saralee's Vineyard,Gewürztraminer,Russian River Valley,Sonoma,California,US,Joseph Swan Vineyards,,
56006,92,Kessler-Haak 2014 Estate Chardonnay (Sta. Rita Hills),"This is a solidly made wine that hits all the right notes. Hot toast, lemon curd and cut red apple show on the lush, perfectly ripe but not at all buttered nose. Key lime flesh and skins show on the balanced palate, where a touch of butter is cut by laser sharp acidity and chalky minerality.",Matt Kettmann,@mattkettmann,29.0,Estate,Chardonnay,Sta. Rita Hills,Central Coast,California,US,Kessler-Haak,,
56007,92,Turiya 2011 Golden God Red (Central Coast),"Angela Soleno has struck a bit of gold on her Petit Verdot-Sangiovese blends, in this bottling offering blueberry, cinnamon, star anise, leather, clove, maduro cigar and truffle notes. The palate shows cola, root beer, roasted fennel truffle salt and blackberry-balsamic reduction sauce, framed by sticky tannins that will hold these flavors for a few more years.",Matt Kettmann,@mattkettmann,125.0,Golden God,Red Blend,Central Coast,Central Coast,California,US,Turiya,,
56009,92,Avennia 2013 Gravura Red (Columbia Valley (WA)),"Cabernet Sauvignon and Merlot make up nearly equal parts of this blend, with the balance Cabernet Franc (9%). Coming from a who's who of vineyards that includes Bacchus, Red Willow, Klipsun and Boushey, it offers nuanced, supremely well balanced aromas of spice, dried herb, raspberry and blackberry. The palate delivers on all of this promise with succulent yet still reserved red and black fruit flavors that show purity, focus and impeccable balance that kicks it up a notch.",Sean P. Sullivan,@wawinereport,35.0,Gravura,Bordeaux-style Red Blend,Columbia Valley (WA),Columbia Valley,Washington,US,Avennia,,
56010,92,Bernardus 2014 Chardonnay (Monterey County),"Crushed orange peels, plump lemon blossoms, spun sugar, clarified butter and a slight almond oil touch combine for a lush, layered nose on this bottling from the Carmel Valley producer. The palate presents an expert balance between salt, butter and almond warmth aand tingling, lime-led acidity. Will please both lovers of classic Cali chard and acid-heads.",Matt Kettmann,@mattkettmann,25.0,,Chardonnay,Monterey County,Central Coast,California,US,Bernardus,,
56011,92,Calera 2013 de Villiers Pinot Noir (Mt. Harlan),"Rich earthy tones of iron and sagebrush meet with a touch of barnyard, roasted meats, dark cranberry fruit and a touch of sarsaparilla on the nose of this Josh Jensen bottling. More iron, wet clay, turned loam and slate minerality show on the palate, where black pepper, cooked black cherries, pomegranate and cranberry round out the still quite tannic sip.",Matt Kettmann,@mattkettmann,52.0,de Villiers,Pinot Noir,Mt. Harlan,Central Coast,California,US,Calera,,
56012,92,Château de Berne 2015 Pur Rosé (Côtes de Provence),"With its striking (and heavy) square white bottle, this wine will certainly make a statement on any table. The wine itself, with Hubert de Bouärd (whose family owns Château Angélus) as consultant, is impressively ripe and concentrated, but still retains its crisp, fresh poise. The acidity at the end is intense and tight.",Roger Voss,@vossroger,36.0,Pur,Rosé,Côtes de Provence,,Provence,France,Château de Berne,,
56013,92,Château Rimauresq 2015 R de Rimauresq Rosé (Côtes de Provence),"Structured, tight and mineral, this wine comes from a selection of old vines in a northwest-facing vineyard on the Rimauresq estate. It offers a tang, along with a firm structure and concentration. A fruitier aftertaste will show through more strongly by late 2016.",Roger Voss,@vossroger,25.0,R de Rimauresq,Rosé,Côtes de Provence,,Provence,France,Château Rimauresq,,
56014,92,Domaine de la Croix 2015 Organdi Rosé (Côtes de Provence),"This is the top rosé from the estate, one of the Côtes de Provence crus classés. The wine is smooth and ripe, although it never loses a fresher edge crisp with lemon-zest flavors. The wine has intensity, concentration and a warm aftertaste.",Roger Voss,@vossroger,,Organdi,Rosé,Côtes de Provence,,Provence,France,Domaine de la Croix,,
56015,92,Domaine du Clos Gautier 2015 Clos du Château Rosé (Côtes de Provence),"Made from low-yielding, 70-year-old vines, this is a dense wine with an almost-dark structure and ripe red-plum flavors. Powerful, it obviously will be better with food and could even benefit from decanting before drinking. Age this concentrated wine until late 2016.",Roger Voss,@vossroger,21.0,Clos du Château,Rosé,Côtes de Provence,,Provence,France,Domaine du Clos Gautier,,
56016,92,Domaines Ott 2015 Château Romassan Rosé (Bandol),"The Mourvèdre in this blend gives this wine a distinctive perfumed, structured character. Soft and rich yellow and tropical-fruit flavors are spiced with the edge of tannins and youthful red-fruit flavors. It is intensely ripe and also crisp with acidity. Drink from late 2016.",Roger Voss,@vossroger,52.0,Château Romassan,Rosé,Bandol,,Provence,France,Domaines Ott,,
56017,92,Gary Farrell 2013 Maffei Vineyard Zinfandel (Russian River Valley),"From an Olivet Lane-situated site, where Pinot Noir is its likely neighbor, this head-trained vineyard is planted to a heritage selection put in the ground in the 1920s. It sings in black licorice and juicy black cherry, showing a tightness of texture and medium build, buoyant in acidity. This is a likable, complex wine with traces of dried herb that linger.",Virginie Boone,@vboone,50.0,Maffei Vineyard,Zinfandel,Russian River Valley,Sonoma,California,US,Gary Farrell,,
56437,92,Hélène Garcin 2004 Poesia Red (Mendoza),"Having tasted the 2002 through the 2005, the '04 seems bright by comparison, with aromatics that include forest floor, tar and lively berries. The palate, like all the Poesia wines, is mouthfilling and substantial; flavors of black cherry, boysenberry and mocha are knit together and don't skip a beat.",Michael Schachner,@wineschach,80.0,Poesia,Red Blend,Mendoza,,Mendoza Province,Argentina,Hélène Garcin,,
56438,92,Katnook Estate 2002 Odyssey Cabernet Sauvignon (Coonawarra),"Katnook's top-of-the-line Cab, the Odyssey, already seems mature, with a touch of brick to its color and some dried fruit flavors. But even if this won't improve further, it's at a lovely spot right now, with a lush, creamy texture, pillowy-soft tannins and wonderful cedar and cigarbox notes. Drink now–2010.",Joe Czerwinski,@JoeCz,60.0,Odyssey,Cabernet Sauvignon,Coonawarra,,South Australia,Australia,Katnook Estate,,
56439,92,Yarra Yering 2004 Dry Red Wine No. 1 Red (Yarra Valley),"Folks who enjoy herbal complexities in their Cabernet shouldn't pass this wine up. Aromas of roasted peppers, eucalyptus and cassis verge on vegetal, but the flavors are more refined, layering rich chocolaty notes over cassis and hints of green pepper. It's only medium-bodied, but still packs in plenty of intensity, evidenced on the long, silky finish. Drink now–2020.",Joe Czerwinski,@JoeCz,75.0,Dry Red Wine No. 1,Cabernet Blend,Yarra Valley,,Victoria,Australia,Yarra Yering,,
56440,92,Mastroberardino 2001 Radici  (Taurasi),"This is among Campania's best reds. The aromatic intensity and persistency is stratospheric and the wine doles out generous notes of red cherry, charred volcanic tones and licorice. It's also a wine that evolves, limitlessly, in the glass, gaining intensity and purity the longer you wait. The tannins are solid and chewy and the duration of the length is excellent.",,,41.0,Radici,Aglianico,Taurasi,,Southern Italy,Italy,Mastroberardino,,
56441,92,Albert Bichot 2005 Domaine Long-Depaquit Vaudésirs Grand Cru  (Chablis),"Very concentrated and closed up, like a coil. The intense green fruit is followed by plum skins. Crispness, dry but fresh, comes alongside a powerful explosion of flavors.",Roger Voss,@vossroger,65.0,Domaine Long-Depaquit Vaudésirs Grand Cru,Chardonnay,Chablis,,Burgundy,France,Albert Bichot,,
56442,92,Corison 2004 Cabernet Sauvignon (Napa Valley),"We all wonder if those cult Cabs will age, but there's no doubt that this is a cellar guarantee. Cathy Corison makes her Cabs less ripe than many others, so the alcohol is lower and the acids and tannins are harder and drier. That's in youth. But such is the depth of cherry, blackberry, cassis, cedar and mineral flavors and overall balance that this complex young wine should easily negotiate the next 15 years.",,,70.0,,Cabernet Sauvignon,Napa Valley,Napa,California,US,Corison,,
56443,92,Henschke 2003 Cyril Henschke Cabernet Sauvignon (Eden Valley),"From a somewhat difficult vintage, Stephen and Prue Henschke have turned out a wonderful Cab. Eucalyptus, tobacco and cherry aromas lead the way, followed by flavors that add a deep undercurrent of cassis. It's a big, thickly textured wine, with a long, berry-inflected finish. Not that tannic, it should nevertheless drink well through at least 2015.",Joe Czerwinski,@JoeCz,100.0,Cyril Henschke,Cabernet Sauvignon,Eden Valley,,South Australia,Australia,Henschke,,
56444,92,Planeta 2006 Moscato di Noto  (Moscato di Noto),"The most attractive quality of this Sicilian Moscato is its genuine simplicity and sunny disposition. The wine imparts fragrant floral notes of jasmine and honeysuckle, leaving ample room for peach, lemon zest, fruity apricot and warm honey. It has very good dimension and an opulent silkiness in the mouth with long lasting flavors on the finish.",,,40.0,Moscato di Noto,Moscato,Moscato di Noto,,Sicily & Sardinia,Italy,Planeta,,
56445,92,JC Cellars 2005 Arrowhead Mountain Vineyard Zinfandel (Sonoma Valley),"Very rich and juvenile now, with exotic cherry, blackberry, gingerbread, tangerine, herb tea, vanilla oak and spice flavors, this Zin has a thick, tannic intensity that needs time to mature. The power and concentration must come from the mountain vineyard, on the eastern side of the valley. Hold this dramatic, high-alcohol Zinfandel until mid-2008, at least.",,,35.0,Arrowhead Mountain Vineyard,Zinfandel,Sonoma Valley,Sonoma,California,US,JC Cellars,,
56446,92,La Chablisienne 2005 Montée de Tonnerre Premier Cru  (Chablis),"Steeliness exemplified in wine. This is crisp and structured, complex with its green fruits, structured acidity and touch of caramel and kiwi. It's the acidity that shows at the moment; needs 4–5 years.",Roger Voss,@vossroger,34.0,Montée de Tonnerre Premier Cru,Chardonnay,Chablis,,Burgundy,France,La Chablisienne,,
56447,92,Williams Selyem 2005 Bucher Vineyard Pinot Noir (Russian River Valley),"Shows young vine jamminess, with fresh, ripe raspberry, cherry and cola flavors. The Williams Selyem balance of acids and tannins of dry elegance is evident, as is the new oak. Complex and supple, this wine needs time in the bottle to show its best. Give it until 2008, and should drink well for years beyond.",,,54.0,Bucher Vineyard,Pinot Noir,Russian River Valley,Sonoma,California,US,Williams Selyem,,
56844,92,Sonoma-Cutrer 2008 Russian River Ranches Chardonnay (Sonoma Coast),"This is a lovely Chardonnay, a super restaurant wine list bottle. Dry and creamy, it offers pleasantly rich pineapple, lime pie, green apple, exotic spice and buttered toast flavors, accented with crisp, clean acidity.",,,23.0,Russian River Ranches,Chardonnay,Sonoma Coast,Sonoma,California,US,Sonoma-Cutrer,,
56845,92,Tangent 2009 Paragon Vineyard Viognier (Edna Valley),"Almost all of California's best Viogniers are oaked, but not this one. As with Tangent's previous bottlings, it just shows that this particular wine doesn't need wood to be opulent and completely satisfying. With brisk, clean acidity, it displays complex citrus, white peach, green apple, wildflower and mineral flavors. What a wonderful wine, and a worthy followup to the sensational 2008.",,,17.0,Paragon Vineyard,Viognier,Edna Valley,Central Coast,California,US,Tangent,,
56846,92,Tenute Cisa Asinari dei Marchesi di Gresy 2007 Martinenga  (Barbaresco),"This intense and determined Nebbiolo from the Martinenga cru of Barbaresco delivers enticing aromas of black fruit, smoke, tar, licorice and old spice. The wine is elegant and ethereal with a polished nature to its firm tannins capped by pleasantly piquant freshness on the finish.",,,20.0,Martinenga,Nebbiolo,Barbaresco,,Piedmont,Italy,Tenute Cisa Asinari dei Marchesi di Gresy,,
56847,92,Terre da Vino 2006 Paesi Tuoi  (Barolo),"With the whimsical name Paesi Tuoi (“your countries”), this youthful Barolo will definitely appeal to refined, international taste buds. The wine opens beautifully with loads of rose, violet and blue flower. In the mouth, it shows soft, silky tannins and bright acidity. Drink after 2015.",,,,Paesi Tuoi,Nebbiolo,Barolo,,Piedmont,Italy,Terre da Vino,,
56848,92,Etude 2006 Cabernet Sauvignon (Rutherford),"This is a very nice Cabernet that feels rich in the mouth, a wine that will have everybody remarking on its smooth, velvety texture. Taste-wise, it shows an olive tinge to the red and black cherry fruit, with a beautiful overlay of smoky oak. You can drink it now, with a good decant, and it should develop in the bottle over the next 6–9 years, if not longer.",,,100.0,,Cabernet Sauvignon,Rutherford,Napa,California,US,Etude,,
56849,92,Foxen 2009 Bien Nacido Vineyard Steel Cut Chardonnay (Santa Maria Valley),"Drier and more minerally than Foxen's other Chardonnays, because it is the least oaked. It's vibrant in grilled pineapple, mango, apricot and vanilla spice flavors, brightened by beautiful acidity. Alcohol is quite high, but the wine never tastes hot or unbalanced.",,,32.0,Bien Nacido Vineyard Steel Cut,Chardonnay,Santa Maria Valley,Central Coast,California,US,Foxen,,
56850,92,Gianfranco Bovio 2006 Rocchettevino  (Barolo),"Extreme elegance and balance characterize Gianfranco Bovio's Barolo Rocchettevino. The wine is studied and sophisticated with a clean presentation of fruit, spice and ethereal balsam or herbal aromas. It's a toned and carefully structured wine that will last many long years in the cellar.",,,,Rocchettevino,Nebbiolo,Barolo,,Piedmont,Italy,Gianfranco Bovio,,
56851,92,Louis Barthélémy 1998 Brut Saphir 1.5 liters  (Champagne),"Just approaching toasty maturity, this is a rich and full wine, its white fruits and perfumes floating above yeast, cookie and pine nut flavors. It has a great mouthfeel, a tingling character, acidity and richness in harmony.",Roger Voss,@vossroger,,Brut Saphir 1.5 liters,Champagne Blend,Champagne,,Champagne,France,Louis Barthélémy,,
56852,92,Markus Huber 2009 Engelreich Riesling (Traisental),"Steely. Cool fruit joins an immense series of flavors—crisp citrus, lime zest, pink grapefruit in the tightest texture. For aging over 3–4 years, probably longer.",Roger Voss,@vossroger,25.0,Engelreich,Riesling,,,Traisental,Austria,Markus Huber,,
56853,92,Neumeister 2009 Klausen Sauvignon Blanc (Südoststeiermark),"From a steep vineyard above the village of Straden, this has wonderful tropical fruit aromas, the fruit beautifully ripe. Ripe, smooth, rounded, the acidity giving just the right final burst of herbal freshness.",Roger Voss,@vossroger,,Klausen,Sauvignon Blanc,,,Südoststeiermark,Austria,Neumeister,,
56854,92,Pio Cesare 2006  Barolo,"Here is a classic expression of Barolo from a very good vintage that opens with bright fruit aromas that are embellished by carefully measured oak tones. You'll recognize blackberry, cassis, tobacco, mineral, cola and humus. The tannins are young and this wine requires more years of bottle aging.",,,61.0,,Nebbiolo,Barolo,,Piedmont,Italy,Pio Cesare,,
56855,92,Provenance Vineyards 2007 Cabernet Sauvignon (Rutherford),"This beautiful Bordeaux blend is based mostly on Cabernet Sauvignon. It's likeable now for the soft, refined texture and luscious flavors of tart cherry candy, accented with nearly half new oak. Shows real balance and flair, from a winery known for objective pricing. Now–2013.",,,40.0,,Cabernet Sauvignon,Rutherford,Napa,California,US,Provenance Vineyards,,
56856,92,Angelo Negro & Figli 2007 Cascinotta  (Barbaresco),"Here's a hefty, big expression of Nebbiolo with thick spice notes and touches of vanilla and cinnamon that sit over a core of bright fruit. The wine offers a soft quality of tannin, followed by tart freshness, resulting in a pleasurable sensation of richness and opulence on the palate. Drink now until 2018.",,,,Cascinotta,Nebbiolo,Barbaresco,,Piedmont,Italy,Angelo Negro & Figli,,
56857,92,Cascina Cucco 2006 Cerrati Vigna Cucco  (Barolo),"You'll enjoy the elegance and refined nature of this Barolo from the Serralunga d'Alba municipality. Bright aromas of cherry, vanilla, cola and ginger are carefully woven into the wine's bouquet and the mouthfeel is characterized by long, drying mineral notes.",,,,Cerrati Vigna Cucco,Nebbiolo,Barolo,,Piedmont,Italy,Cascina Cucco,,
56858,92,Moët & Chandon 2003 Grand Vintage Brut  (Champagne),"With its high percentage of Champagne's third grape, Pinot Meunier, as a result of the growing conditions of 2003, this is a great wine that is developing fast. It has more toast, less fruit, although its richness and weight are finely in balance with a yeasty cookie dough character.",Roger Voss,@vossroger,,Grand Vintage Brut,Champagne Blend,Champagne,,Champagne,France,Moët & Chandon,,
56859,92,Pascal Doquet NV Grand Cru Le Mesnil sur Oger Blanc de Blancs Chardonnay (Champagne),"A smooth and creamy Champagne, delicious peach and apricot fruits linked by acidity into a harmonious whole. There is a great apple skin texture that gives a bite, just enough to shape the rich aftertaste.",Roger Voss,@vossroger,79.0,Grand Cru Le Mesnil sur Oger Blanc de Blancs,Chardonnay,Champagne,,Champagne,France,Pascal Doquet,,
56890,92,Robert Biale 2012 Bedrock Vineyard Zinfandel (Sonoma Valley),"A brand new vineyard designation for the winery, Bedrock dates to the 1800s and is being made famous by proprietor Joel Peterson of Ravenswood and his son, Morgan Twain Peterson. This wine does the site justice, a smooth concoction of cherry pit and allspice, elegant and yet plenty generous in fruit and structure, measured by natural acidity.",Virginie Boone,@vboone,50.0,Bedrock Vineyard,Zinfandel,Sonoma Valley,Sonoma,California,US,Robert Biale,,
56891,92,Rock Wall 2013 Kristen's Cuvee Viognier (California),"Abundant flavors combine with a plush texture to make a wine that slowly builds interest from the first sniff to the lingering aftertaste. Hints of vanilla and honeysuckle enhance the vivid apricot flavors, lasting long on the viscous palate and through the finish.",Jim Gordon,@gordone_cellars,20.0,Kristen's Cuvee,Viognier,California,California Other,California,US,Rock Wall,,
56892,92,Arbor Crest 2012 Avansino Grand Reserve Cabernet Sauvignon (Columbia Valley (WA)),"This is the first vintage for this blend of 75% Cabernet Sauvignon and 25% Sangiovese. Ripe, lush and complex, it offers flavors of plum and cassis, with an appealing texture and moderately gripping tannins. There's life and snap to the finish, and though it's already delicious just two years after the vintage, another year or two of bottle age should see it continue to improve.",Paul Gregutt,@paulgwine ,28.0,Avansino Grand Reserve,Cabernet Sauvignon,Columbia Valley (WA),Columbia Valley,Washington,US,Arbor Crest,,
56893,92,Array 2011 Dijon Clone Chardonnay (Yakima Valley),"Sourced entirely from the Otis Harlan Vineyard, these vines were planted about 25 years ago. It's a pleasure to see them singled out for this showcase bottling. It's a rich, oily, nutty, buttery style to be sure, but also dense with ripe apple, pear and peach fruit. The acidity buoys it up throughout a strong, long finish.",Paul Gregutt,@paulgwine ,32.0,Dijon Clone,Chardonnay,Yakima Valley,Columbia Valley,Washington,US,Array,,
56894,92,VinRoc 2010 Cabernet Sauvignon (Atlas Peak),"From a single-vineyard, estate-grown and bottled, this is an intense 100% Cabernet, generous in roasted plum, cedar and coffee. With supple tannins it's easy to enjoy, concentrated and dark, a good match for roasted meats and savory pies.",Virginie Boone,@vboone,98.0,,Cabernet Sauvignon,Atlas Peak,Napa,California,US,VinRoc,,
56895,92,Château Marsau 2012  Blaye Côtes de Bordeaux,"This special selection, tight-cropped from 30 acres of 100% Merlot, is ripe and rich. This is a smoky and fruity wine, in barrel for 14 months. It has ripe black fruits and rich, dense structure. Spice and toast balance the fruit, giving an impressive sense of generosity. Drink from 2017.",Roger Voss,@vossroger,18.0,,Bordeaux-style Red Blend,Blaye Côtes de Bordeaux,,Bordeaux,France,Château Marsau,,
